Position,Annual Salary in Dollar,Date Hired
Securities Licensing Specialist,80188,1981
Contract Specialist,80188,1982
Investigator,80188,1999
Manager Business Registration,80188,1997
Appraiser,80188,2007
Program Analyst,80188,1990
Inspector Program Specialist,80188,1987
Help Desk Computer Specialist,80188,1991
Program Analyst,80188,1991
Client Services Liaison,80188,1971
Auditor (tax),80188,2005
Social Worker,80188,2000
Engineering Technician,80188,2008
Environmental Engineer,80188,1991
Investigator,80188,1981
Engineering Technician,80188,2004
Social Insurance Specialist,80188,2002
Lead Service Coordinator,80188,2001
Resource Specialist,80188,1995
Environmental Specialist,80188,1998
Auditor (tax),80188,1991
Resource Development Specialist,80188,1997
Fishery Licensure Coor,80188,1986
Environmental Specialist,80188,1999
Program Monitor,80188,1998
Social Worker,80188,2002
Clinical Specialist,80188,1996
Investigator,80188,2002
Resource Development Specialist,80188,1968
Program Evaluation Specialist,80188,1995
Social Worker,80188,1999
Social Worker,80188,1990
Social Worker,80188,1994
Mediation Specialist,80188,1990
Social Worker,80188,2005
Insurance Operations Specialist,80188,1986
Quality Service Review,80188,2001
Resource Development Specialist,80188,1999
Social Worker,80188,1994
Social Worker,80188,1988
Freedom Of Information Specialist,80188,1998
Insurance License Specialist,80188,1981
Securities Licensing Specialist,80188,2002
Public Affairs Specialist,80188,2000
Resource Development Specialist,80188,1994
Unemploy Comp Claims Examiner,80188,1979
Child Care Coordinator,80188,1984
Child Care Coordinator,80188,1999
Child Care Coordinator,80188,1998
Programmer Analyst,80188,1987
Residential Rehabilition Speci,80188,2005
Producer,80188,2002
Case Coor,80188,1979
Training Dev Specialist,80188,1975
Unemploy Comp Claims Examiner,80188,1982
Training Specialist,80188,1980
Producer,80188,2005
Producer,80188,2000
Investigator,80188,1976
Compliance Specialist,80188,2003
Program Analyst,80188,1993
Staff Assistant,80188,1980
Staff Assistant,80188,1978
Employer Marketing Specialist,80188,2000
Workers Comp Claims Examiner,80188,1993
Investigator,80188,1982
Program Analyst,80188,1978
Librarian,80188,1991
Environmental Specialist,80188,2002
Environmental Engineer,80188,1993
Social Worker,80188,1992
Investigator,80188,1979
Civil Engineer,80188,1990
Grants Management Specialist,80188,2001
Contract Specialist,80188,2007
Contract Specialist,80188,2007
Invest,80188,1990
Environmental Engineer,80188,1996
Public Health Analyst,80188,2000
Management Analyst,80188,2001
Public Health Analyst,80188,2006
Public Health Advisor,80188,2002
Management Analyst,80188,1987
Information Technology Specialist,80188,1987
Engineering Technician,80188,1982
Staff Assistant,80188,1991
Social Worker,80188,1991
Program Coor,80188,2002
Management Analyst,80188,2008
Program Analyst,80188,1974
Public Health Analyst,80188,2002
Investigator,80188,2005
Assoc Professor,80079,1970
Social Worker,80076,2005
Service Center Manager (dmv),80076,2002
Unemploy Comp Claims Exam,80046,1973
Librarian,80040,1999
Workforce Dev Special,80040,2005
Trial Attorney,80023,2011
Marine Engineer,80009,1997
Customer Service Representative,80000,2010
Special Assistant,80000,2011
Psychiatric Nurse,80000,2011
Local Child Wellness Coordinat,80000,2008
Inventory And Spac,80000,1997
Social Worker,80000,2002
Psychiatric Nurse,80000,2011
Legislative Director,80000,2007
Legislative Counsel,80000,2008
Deputy Director,80000,2009
Executive Assistant,80000,2007
Vocational Rehabil,80000,2011
Correctional Institution Admin,80000,2009
Training & Dev Specialist,80000,2011
Housing Code Enforce Officer,80000,1978
Community Relations Specialist,80000,1989
Invoice Verific Specialist,80000,2008
Public Health Anal,80000,2008
Support Svcs Assistant,80000,2011
Social Worker,80000,2008
Chemist,79996,2010
Operations Manager,79996,1981
Information Technology Specialist,79959,2009
Executive Assistant,79959,1998
Grants Program Manager,79959,2009
Staff Assistant,79959,1979
Management Liaison Specialist,79959,1972
Program Analyst,79959,2001
Grants Program Manager,79959,2009
Criminal Investigator,79959,2011
Management Analyst,79959,2010
Contract Specialist,79959,1999
Physical Security Specialist,79959,2009
Program Analyst,79959,2008
Technical Service Program Special,79959,1978
Information Technology Specialist,79959,2007
Information Technology Specialist,79959,2005
Special Assistant,79959,2007
Information Technology Specialist,79959,2007
Program Analyst,79959,1981
Financial Analyst,79959,2010
Facility Manager,79959,1985
Executive Assistant,79959,2007
Records Management Specialist,79959,2002
Information Technology Specialist,79959,1975
Paralegal Specialist,79959,2008
Project Manager,79959,2010
Grant Program Coordinator,79959,1997
Human Resources Specialist,79959,2008
Program Analyst,79959,2008
Investigator,79959,1999
Compliance Monitor,79959,2011
Management Liaison Specialist,79959,1983
Labor Rel & Workforce Liaison,79959,1985
Hr Specialist,79959,2008
Assoc Professor,79948,1973
Clinical Nurse,79877,1987
Psychiatric Nurse,79877,1994
Psychiatric Nurse,79877,1993
Psychiatric Nurse,79877,1998
Psychiatric Nurse,79877,2003
Clinical Nurse,79877,1985
Psychiatric Nurse,79877,1997
Clinical Nurse,79877,2000
Community Health Nurse,79877,2000
Psychiatric Nurse,79877,1992
Lieutenant,79843,1998
Lieutenant,79843,1998
Lieutenant,79843,1996
Lieutenant,79843,2002
Lieutenant,79843,2000
Lieutenant,79843,2000
Sergeant,79810,2000
Sergeant,79810,1998
Sergeant,79810,1998
Sergeant,79810,1994
Sergeant,79810,1999
Sergeant,79810,1997
Sergeant,79810,1994
Sergeant,79810,1997
Sergeant,79810,1996
Sergeant,79810,1996
Sergeant,79810,1992
Sergeant,79810,1993
Sergeant,79810,1994
Sergeant,79810,1998
Sergeant,79810,1997
Sergeant,79810,1994
Sergeant,79810,1998
Sergeant,79810,2000
Sergeant,79810,1992
Sergeant,79810,1996
Sergeant,79810,1994
Sergeant,79810,1994
Sergeant,79810,1998
Sergeant,79810,1999
Sergeant,79810,2000
Sergeant,79810,1994
Sergeant,79810,1989
Sergeant,79810,1996
Sergeant,79810,1994
Sergeant,79810,1992
Sergeant,79810,1998
Sergeant,79810,1994
Sergeant,79810,1992
Sergeant,79810,1997
Sergeant,79810,1997
Sergeant,79810,1997
Sergeant,79810,1997
Sergeant,79810,1997
Sergeant,79810,1998
Sergeant,79810,1994
Sergeant,79810,1988
Sergeant,79810,1994
Sergeant,79810,1989
Sergeant,79810,1996
Sergeant,79810,1998
Sergeant,79810,1994
Detective Sergeant,79810,1997
Sergeant,79810,1997
Sergeant,79810,1997
Sergeant,79810,1994
Sergeant,79810,1994
Sergeant,79810,1994
Sergeant,79810,1997
Sergeant,79810,1991
Sergeant,79810,1992
Sergeant,79810,1992
Sergeant,79810,1998
Sergeant,79810,1994
Sergeant,79810,1997
Program Manager,79790,2003
Teacher,79785,2000
Teacher,79785,2001
Instructional Coach,79785,2010
Teacher,79785,2001
Teacher,79785,2009
Teacher,79785,2001
Teacher,79785,2008
Teacher,79785,2009
Teacher,79785,2003
Librarian,79785,2007
Teacher,79785,2008
Teacher,79785,2009
Teacher,79785,2010
Teacher,79785,2004
Teacher,79785,2010
Teacher,79785,2009
Teacher,79785,2001
Teacher,79785,2010
Teacher,79785,2010
Teacher,79785,2001
Teacher,79785,2001
Teacher,79785,2010
Teacher,79785,2010
Teacher,79785,2010
Teacher,79785,2004
Teacher,79785,2001
Instructional Coach,79785,2010
Teacher,79785,2010
Teacher,79785,2010
Teacher,79785,2001
Teacher,79785,2007
Teacher,79785,2002
Social Worker,79785,2005
Teacher,79785,2001
Teacher,79785,2007
Teacher,79785,2006
Teacher,79785,2009
Teacher,79785,2000
Teacher,79785,2002
Teacher,79785,2003
"Coord, special Education",79710,2000
Coordinator (et),79710,1997
Executive Assistant,79690,2007
Financial Manager,79690,1996
Budget Analyst,79690,2006
Contract Specialist,79690,1997
Revenue Officer,79690,2002
Human Resources Genist,79690,2007
Customer Service Representative,79690,1987
Paralegal Specialist,79690,2000
Executive Assistant,79690,2004
Management Analyst,79690,1997
Executive Assistant,79690,2003
Budget Analyst,79690,2004
Bldg & Grds Maint Wkr Supv (pi,79685,1981
Fire Inspector Tech,79653,1989
Fire Investigator,79653,1988
Fire Inspector Technician,79653,1986
Administrative Specialist,79612,2005
Director Of Web Services,79504,2009
Dir Of Online Technologies,79504,2009
Facilities Operations Manager,79503,1970
Architect (design),79503,1992
Logistics Management Specialist,79503,1982
Staff Development Officer,79498,2003
Project Manager,79498,1993
Correctional Institution Admin,79498,1988
Police Officer,79436,2009
Protective Svcs Ofr,79436,2008
Assoc Professor,79335,2004
Teacher,79237,2011
Teacher,79237,2006
Literacy Coach,79237,2011
Instructional Coach,79237,2002
Instructional Coach,79237,2011
Teacher,79237,2011
Teacher,79237,2010
Teacher,79237,2011
Social Worker,79237,2004
Social Worker,79237,1989
Speech Pathologist,79237,2009
Counselor,79237,2002
School Improvement Specialist,79227,2005
Constituent Services Specialist,79211,2008
Engineering Techni,79200,2008
Accountant,79119,1998
Program Analyst,79119,1997
Auditor-assessment Services Di,79119,1985
Lottery Product Developer,79119,2008
Communications Specialist,79119,2008
Operations Accountant,79119,1985
Social Worker,79066,2005
Librarian,79000,2005
Librarian,79000,1999
Legislative Assistant,79000,2008
Emergency Management Program Specialist,78934,1992
Program Coordinator,78934,2005
Criminal Investigator,78934,2005
Human Resources Spec Policy,78934,1984
Hr Spec (hr Dev),78934,2006
Criminal Investigator,78934,1990
Criminal Investigator,78934,2008
Public Affairs Specialist,78934,2011
Criminal Investigator,78934,2004
Information Technology Specialist,78934,2010
Budget Analyst,78934,2005
Budget Analyst,78934,1987
Auditor,78934,2001
Community Planner,78934,2007
Auditor,78934,2007
Information Technology Specialist,78934,2007
Contracts Specialist,78934,1976
Information Technology Specialist,78934,2004
Administrative Officer,78934,1987
Audio Visual Services Speciali,78934,1988
Management Liaison Specialist,78934,1983
Early Childhood Clinical Speci,78934,2010
Information Technology Specialist,78934,2007
Evaluation And Quality Coordin,78934,2007
Writer Editor,78934,2008
Information Technology Specialist,78934,2010
Prtf Coordinator,78934,1992
Administrative Officer,78934,2000
Program Officer (edujobs),78934,2011
Contracts Specialist,78934,1986
Assessment Specialist,78934,2011
Strategic Program Specialist,78934,2009
Program Analyst,78934,2006
Public Affairs Specialist,78934,2008
Consumer Outreach Specialist,78934,2002
Project Manager,78934,2008
Consumer Outreach Specialist,78934,2007
Telecomms Specialist,78934,2008
Special Assistant,78934,2005
It Spec (data Management),78934,2002
Program Analyst,78934,1992
Federal Grants Program Analyst,78934,2000
Environmental Protection Speci,78934,1986
Literacy Resource Cen Coor,78934,2000
Program Analyst,78934,2007
Program Analyst,78934,2003
Investigator,78934,2001
Mngmt And Program Analyst,78934,2004
Program Analyst,78934,1986
Program Analyst,78934,2005
Grants Management Specialist,78934,2010
Public Information Officer,78934,2007
Community Development Specialist,78934,1984
Rights And Advocacy Specialist,78934,2008
Administrative Specialist,78934,1988
Policy Advisor,78934,1998
Grants Management Specialist,78934,2001
Data Analyst,78934,2007
Administrative Support Special,78934,2005
Transportation Program Specialist,78934,1989
Assoc Professor,78877,1971
Assoc Professor,78772,1972
Assoc Professor,78772,1971
Assoc Professor,78772,1972
Assoc Professor,78772,1970
Assoc Professor,78772,1976
Assoc Professor,78772,1969
Assoc Professor,78772,1987
Assoc Professor,78772,1971
Officer,78749,1990
Officer,78749,1990
Officer,78749,1990
Officer,78749,1976
Officer,78749,1987
Officer,78749,1990
Officer,78749,1989
Officer,78749,1990
Officer,78749,1990
Officer,78749,1990
Officer,78749,1990
Officer,78749,1990
Officer,78749,1989
Officer,78749,1990
Officer,78749,1990
Coordinator (et),78748,2011
"Coord, special Education",78748,1998
"Coord, special Education",78748,1998
Coordinator (et),78748,2000
"Coord, special Education",78748,2008
Officer,78743,1990
Officer,78743,1990
Officer,78743,1989
Officer,78743,1988
Officer,78743,1985
Officer,78743,2001
Officer,78743,1990
Officer,78743,1990
Officer,78743,1989
Officer,78743,1987
Officer,78743,1990
Officer,78743,1988
Officer,78743,1987
Officer,78743,1989
Officer,78743,1990
Officer,78743,1983
Officer,78743,1990
Officer,78743,1990
Officer,78743,1990
Officer,78743,1989
Officer,78743,1991
Officer,78743,1990
Officer,78743,1990
Officer,78743,1989
Officer,78743,1990
Officer,78743,1991
Officer,78743,1985
Officer,78743,1990
Officer,78743,1990
Officer,78743,1989
Officer,78743,1989
Officer,78743,1990
Officer,78743,1989
Officer,78743,1986
Officer,78743,1990
Officer,78743,1990
Officer,78743,1984
Officer,78743,1990
Officer,78743,1991
Officer,78743,1990
Officer,78743,1990
Officer,78743,1982
Officer,78743,1989
Officer,78743,1989
Officer,78743,1990
Officer,78743,1990
Officer,78743,1990
Officer,78743,1990
Officer,78743,1986
Officer,78743,1990
Officer,78743,1989
Officer,78743,1988
Officer,78743,1991
Officer,78743,1988
Officer,78743,1988
Officer,78743,1986
Officer,78743,1990
Officer,78743,1991
Officer,78743,1987
Officer,78743,1990
Officer,78743,1990
Officer,78743,1986
Officer,78743,1988
Officer,78743,1990
Officer,78743,1991
Officer,78743,1990
Officer,78743,1990
Officer,78743,1988
Officer,78743,1988
Officer,78743,1990
Officer,78743,1990
Officer,78743,1988
Officer,78743,1991
Officer,78743,1989
Officer,78743,1990
Officer,78743,1991
Officer,78743,1988
Officer,78743,1991
Officer,78743,1989
Officer,78743,1990
Officer,78743,1991
Officer,78743,1990
Officer,78743,1990
Officer,78743,1989
Officer,78743,1986
Officer,78743,1989
Officer,78743,1990
Officer,78743,1985
Officer,78743,1985
Officer,78743,1987
Officer,78743,1984
Officer,78743,1989
Officer,78743,1989
Officer,78743,1990
Officer,78743,1970
Officer,78743,1988
Officer,78743,1990
Officer,78743,1990
Officer,78743,1987
Officer,78743,1990
Officer,78743,1990
Officer,78743,1979
Officer,78743,1989
Officer,78743,1990
Officer,78743,1989
Officer,78743,1990
Officer,78743,1989
Officer,78743,1991
Officer,78743,1988
Officer,78743,1990
Officer,78743,1989
Officer,78743,1990
Officer,78743,1985
Officer,78743,1984
Officer,78743,1990
Officer,78743,1990
Officer,78743,1990
Officer,78743,2002
Officer,78743,1985
Officer,78743,1988
Officer,78743,1989
Officer,78743,1985
Officer,78743,1989
Officer,78743,1990
Officer,78743,1981
Officer,78743,1989
Officer,78743,1988
Officer,78743,1990
Officer,78743,1990
Officer,78743,1990
Officer,78743,1991
Officer,78743,1990
Officer,78743,1990
Officer,78743,1990
Officer,78743,1990
Officer,78743,1988
Officer,78743,1986
Officer,78743,1990
Officer,78743,1985
Officer,78743,1987
Officer,78743,1991
Officer,78743,1988
Officer,78743,1981
Officer,78743,1989
Officer,78743,1987
Officer,78743,1989
Officer,78743,1990
Officer,78743,1991
Officer,78743,1990
Officer,78743,1990
Officer,78743,1990
Officer,78743,1990
Officer,78743,1989
Officer,78743,1990
Officer,78743,1990
Officer,78743,1990
Officer,78743,1986
Officer,78743,1987
Officer,78743,1985
Officer,78743,1986
Officer,78743,1988
Officer,78743,1987
Officer,78743,1989
Officer,78743,1990
Officer,78743,1990
